Paired evolution matrix comparison
Baseline: v33-founder-reproduction (3 runs)
Candidate: v34-direct-teaching (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 8/8.67; C 10/10; paired Δ med/mean +2/+1.33 (3 pairs)
  births: B med/mean 4/4; C 4/4; paired Δ med/mean 0/0 (3 pairs)
  reproductionOffers: B med/mean 11/10.67; C 13/13; paired Δ med/mean +3/+2.33 (3 pairs)
  reproductionAcceptances: B med/mean 8/7; C 9/9; paired Δ med/mean +2/+2 (3 pairs)
  reproductionAttempts: B med/mean 26/24.33; C 60/51.33; paired Δ med/mean +30/+27 (3 pairs)
  reproductionConceptions: B med/mean 4/4; C 4/4; paired Δ med/mean 0/0 (3 pairs)
  deaths: B med/mean 1/2; C 0/0.67; paired Δ med/mean -1/-1.33 (3 pairs)
  childDeaths: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  relationshipProposalOffers: B med/mean 11/11; C 13/13.33; paired Δ med/mean +2/+2.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 11/11; C 13/13.33; paired Δ med/mean +2/+2.33 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 2/2.33; C 2/2; paired Δ med/mean 0/-0.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 3/2.67; C 2/2.67; paired Δ med/mean 0/0 (3 pairs)
  childExposureDeaths: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1; C 3/2.67; paired Δ med/mean +2/+1.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1; C 3/2.67; paired Δ med/mean +2/+1.67 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1; C 3/2.67; paired Δ med/mean +2/+1.67 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1; C 3/2.67; paired Δ med/mean +2/+1.67 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 2/1.33; C 5/5.67; paired Δ med/mean +3/+4.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1; C 3/2.67; paired Δ med/mean +2/+1.67 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/0.33; C 2/3; paired Δ med/mean +1/+2.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 2/1.33; C 3/3.33; paired Δ med/mean +2/+2 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 2/2.33; paired Δ med/mean +2/+2.33 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 2/1.33; C 3/4.33; paired Δ med/mean +3/+3 (3 pairs)
